upm,viv_sel,p1_1,p1_2,p1_3,region,tloc,est_dis,upm_dis,fac_viv
207914,15,8,1,,1,3,6,123,1948
207914,16,4,1,,1,3,6,123,1948
207914,17,2,1,,1,3,6,123,1948
207914,18,5,1,,1,3,6,123,1948
207914,19,3,1,,1,3,6,123,1948
207914,20,3,1,,1,3,6,123,1948
208036,2,5,1,,1,3,6,124,1919
208036,4,6,1,,1,3,6,124,1919
208036,5,4,1,,1,3,6,124,1919
208036,6,4,1,,1,3,6,124,1919
208036,7,4,1,,1,3,6,124,1919
208036,8,7,1,,1,3,6,124,1919
208036,9,5,1,,1,3,6,124,1919
208036,10,3,1,,1,3,6,124,1919
208036,12,5,1,,1,3,6,124,1919
208036,13,3,1,,1,3,6,124,1919
208036,14,5,1,,1,3,6,124,1919
208036,16,1,1,,1,3,6,124,1919
208036,17,5,1,,1,3,6,124,1919
208036,18,6,1,,1,3,6,124,1919
208036,19,3,1,,1,3,6,124,1919
208036,20,6,1,,1,3,6,124,1919
208206,1,1,1,,1,1,8,125,3073
208206,2,4,1,,1,1,8,125,3073
208206,4,6,1,,1,1,8,125,3073
208206,5,4,1,,1,1,8,125,3073
260206,1,1,1,,1,4,7,126,1202
260206,2,5,1,,1,4,7,126,1202
260206,3,6,1,,1,4,7,126,1202
