"VIV_SEL","HOGAR","P3_2","P3_3","P3_5","P4_1","P4_5","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P8_1","P9_1","P10_1","P11_1_1","P11_1_2","P11_1_3","P12_1","TLOC","SEXO","EDAD","EST_DIS","UPM_DIS","UPM","FAC_PER","GRA","NIV","P3_1","P4_4_1","P4_4_2","P4_4_3","P4_4_4","P4_4_5","P4_4_6","P4_4_7","P5_3","P5_4","P10_8","R_SEL","FACTOR","P3_11","P4_3","P4_8","P5_31","P6_4","P6_20","P7_1","P10_17","P11_1_9","P12_3_1","P12_3_2","P12_3_3","P12_3_4","P12_3_5","P12_3_6"
8,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,1,41,9,170,601470,4022,2,2,1,1,1,2,1,2,2,2,2,1,1,1,4020,1,3,1,2,2,2,2,2,1,2,1,1,2,2,1
20,1,1,2,3,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,1,2,3,1,33,9,170,601470,8044,2,2,1,2,2,1,1,2,2,2,2,1,2,1,4020,1,4,1,2,2,1,2,2,2,2,2,2,2,2,2
1,1,1,1,3,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,3,1,22,9,170,601470,8044,3,3,1,1,2,1,1,2,2,2,2,2,2,1,4020,1,4,1,2,2,3,2,1,1,2,2,2,2,2,2
18,1,5,1,5,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,2,33,9,170,601470,8044,4,8,2,1,2,2,1,2,1,2,1,2,2,2,4020,1,3,1,1,1,3,2,2,1,2,2,2,2,2,2
5,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,3,1,45,9,170,601470,4022,3,3,1,2,1,2,2,2,2,2,1,2,2,1,4020,1,4,1,1,2,2,2,2,1,2,2,2,2,2,2
6,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,3,1,60,9,170,601470,4022,6,2,1,2,2,1,2,2,2,2,1,2,2,1,4020,1,4,1,2,2,2,2,2,2,2,1,1,2,2,2
4,1,5,1,5,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,3,2,38,9,170,601470,8044,3,3,2,2,2,2,1,2,1,2,2,2,2,2,4020,1,5,1,2,1,2,1,2,1,2,2,2,2,1,2
10,1,1,1,5,1,1,2,1,1,1,2,2,1,2,2,2,2,1,1,2,1,2,2,2,3,2,32,9,170,601470,8044,3,3,2,2,2,2,2,2,1,2,1,2,2,2,4020,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
7,1,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,3,1,40,9,170,601470,4022,3,6,1,2,2,2,1,2,2,2,2,2,2,1,4020,1,4,1,2,2,3,2,2,2,2,2,2,2,2,2
12,1,6,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,1,36,9,170,601470,4022,1,3,1,2,2,2,2,2,2,2,2,2,2,1,4020,1,5,1,2,1,2,2,1,1,2,2,1,2,2,2
1,1,6,1,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,24,4,161,600971,10505,5,8,1,2,2,1,1,2,2,2,1,1,1,1,5233,1,4,1,2,2,3,2,2,2,2,2,2,2,2,2
12,1,5,1,5,2,1,2,2,2,2,2,2,2,2,2,2,2,9,1,1,2,2,2,2,4,2,54,12,171,660023,4265,6,2,1,2,2,2,2,2,2,2,2,2,2,1,4265,1,4,1,2,1,2,2,2,1,2,2,2,2,2,2
1,1,5,1,5,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,38,2,157,600793,10938,1,6,2,1,1,1,1,2,1,2,2,2,2,2,5469,1,4,1,2,2,3,2,2,2,2,2,2,2,2,2
4,1,5,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,46,2,146,600164,11114,3,6,1,1,2,2,2,2,2,2,2,2,1,1,5557,1,5,1,1,2,3,1,2,2,1,1,1,2,2,2
2,1,1,1,5,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,2,32,2,172,701374,9728,3,6,2,1,2,1,1,2,1,2,1,1,2,2,4864,1,2,1,1,2,3,2,2,2,2,2,2,2,2,2
2,1,5,1,6,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,63,2,174,701495,21384,3,3,1,1,2,2,1,1,2,2,2,1,1,1,7128,1,3,1,2,1,2,1,2,2,1,1,1,2,2,2
5,1,5,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,2,1,2,29,2,174,701495,14256,3,6,2,2,2,1,1,2,1,2,1,1,1,2,7128,1,4,1,2,1,2,1,2,2,2,2,2,2,2,2
5,1,2,1,8,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,37,2,172,701374,9728,6,2,5,2,2,2,2,2,2,2,2,2,2,2,4864,1,3,1,2,2,1,2,2,1,2,2,2,2,2,2
18,1,5,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,3,2,19,8,182,703481,11362,3,3,2,2,2,1,1,2,1,2,2,2,2,2,5638,1,4,1,2,1,2,2,2,2,2,2,2,2,2,2
20,1,5,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,3,2,30,8,182,703481,11362,3,8,2,2,2,2,1,2,2,2,2,1,1,2,5638,1,3,1,1,2,3,2,2,2,2,2,2,2,2,2
17,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,23,8,182,703481,28405,3,3,5,1,1,2,2,2,1,2,2,2,2,6,5638,1,4,1,2,2,3,2,2,1,2,2,2,2,2,2
16,1,5,1,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,28,8,182,703481,11362,4,2,2,2,2,2,1,2,1,2,1,1,2,2,5638,2,3,1,1,1,2,2,2,2,2,2,1,2,2,2
12,1,5,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,28,8,182,703481,11362,3,3,2,1,1,1,1,1,1,2,2,2,2,2,5638,2,4,1,1,2,3,2,1,1,2,2,2,2,2,2
8,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,70,8,182,703481,11362,0,0,1,2,2,2,1,2,2,2,2,2,2,1,5638,2,5,1,2,2,3,2,2,1,1,2,1,2,2,2
9,1,6,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,3,1,24,8,182,703481,28405,3,3,5,1,1,1,1,2,2,2,2,2,2,7,5638,1,4,1,2,2,1,2,1,2,2,2,2,2,2,2
15,1,5,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,3,1,38,8,182,703481,11362,4,2,1,1,1,1,1,2,2,2,2,1,2,1,5638,1,4,1,1,1,3,2,2,1,2,2,1,2,2,2
19,1,5,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,3,1,60,8,182,703481,11362,3,3,1,2,2,2,1,2,2,2,1,2,2,1,5638,1,5,1,2,2,3,2,1,1,1,1,1,2,2,2
11,1,5,1,1,1,1,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,3,1,20,8,182,703481,5681,2,3,1,1,1,2,1,2,2,2,2,2,2,1,5638,1,3,1,2,2,3,2,2,1,2,2,2,2,2,2
17,1,5,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,4,1,30,11,183,760732,14004,6,2,1,2,2,2,2,2,1,2,2,2,2,1,7002,1,5,1,2,2,3,2,2,1,1,2,1,2,2,2
21,1,1,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,2,33,11,183,760732,14004,0,0,1,2,2,2,2,2,2,2,1,1,2,1,7002,2,4,1,2,2,3,9,2,1,2,2,2,2,2,2
19,1,5,2,5,2,1,2,2,1,2,2,2,1,2,2,2,2,9,2,2,2,2,2,2,4,2,49,11,183,760732,35010,0,0,2,1,2,2,1,2,1,2,2,1,2,2,7002,2,5,1,2,2,3,2,2,1,2,2,1,2,2,2
4,1,6,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,29,11,183,760732,7002,6,2,1,1,2,2,1,2,1,2,1,1,2,1,7002,1,4,1,2,2,3,2,2,1,1,2,1,2,2,2
2,1,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,4,1,58,11,183,760732,14004,1,2,1,2,2,2,2,2,2,2,2,2,2,1,7002,2,5,1,2,2,3,2,2,1,2,2,2,2,2,2
6,1,5,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,1,25,11,183,760732,14004,0,0,1,2,2,2,2,2,2,2,1,2,2,1,7002,1,3,1,2,2,3,2,2,1,1,2,1,2,2,2
1,1,5,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,30,11,183,760732,14004,6,2,1,2,2,2,1,2,2,2,2,2,2,1,7002,1,3,1,2,2,3,2,2,1,1,2,1,2,2,2
20,1,5,1,5,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,4,2,31,11,183,760732,14004,6,2,2,2,2,2,2,2,2,2,2,2,2,2,7002,1,5,1,2,2,3,2,2,1,1,2,1,2,2,2
3,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,1,31,11,183,760732,14004,6,2,1,2,2,2,2,2,1,2,2,2,2,1,7002,1,4,1,2,2,3,2,2,1,1,2,1,2,2,2
12,1,1,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,42,11,183,760732,28008,0,0,2,2,2,2,2,2,2,2,2,1,2,2,7002,1,3,1,2,2,3,2,1,1,2,2,1,2,2,2
13,1,4,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,28,11,183,760732,7002,6,2,1,2,2,2,1,2,1,2,1,1,2,1,7002,1,3,1,2,2,3,2,1,1,1,2,1,2,2,2
14,1,1,2,5,2,2,2,2,2,2,2,2,1,2,2,2,2,9,2,2,2,2,2,2,4,2,25,11,183,760732,14004,0,0,2,2,2,2,2,1,2,2,2,2,2,2,7002,1,5,1,2,2,3,2,2,1,2,2,1,2,2,2
16,1,1,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,1,63,11,183,760732,14004,0,0,1,1,2,2,2,2,2,2,1,2,2,1,7002,1,5,1,1,2,3,9,2,1,1,2,1,2,2,2
18,1,3,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,4,1,50,11,183,760732,7002,0,0,1,1,2,2,1,2,2,2,2,2,2,1,7002,2,5,1,2,2,2,2,2,1,1,2,1,2,2,2
10,1,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,2,57,8,182,703481,11362,0,0,1,2,1,2,1,1,1,2,2,1,2,2,5638,1,4,1,2,2,3,2,1,1,2,2,1,2,2,2
3,1,6,1,4,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,2,22,4,179,702179,22424,4,8,3,1,2,2,1,1,2,2,1,1,1,2,7447,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,21,4,179,702179,14950,3,3,2,2,2,2,2,2,2,2,2,1,2,2,7447,1,4,1,2,2,3,2,2,1,2,2,2,2,2,2
9,1,5,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,9,2,2,2,2,2,2,4,1,35,11,183,760732,14004,0,0,1,2,2,2,2,2,1,2,2,2,2,1,7002,1,5,1,2,2,3,9,2,1,1,2,1,2,2,2
7,1,5,1,5,2,1,2,2,1,2,2,2,1,1,2,2,2,9,2,2,2,2,2,2,4,2,26,11,183,760732,14004,6,2,2,2,2,1,1,2,1,2,2,2,2,2,7002,1,3,1,2,2,3,2,2,1,1,2,1,2,2,2
8,1,5,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,1,38,11,183,760732,14004,2,2,1,2,2,2,1,2,2,2,1,2,2,1,7002,1,3,1,2,2,3,2,2,1,1,2,1,2,2,2
1,1,5,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,2,53,8,182,703481,11362,5,2,2,1,2,1,1,2,2,2,1,2,2,2,5638,2,4,1,2,2,2,2,2,2,2,2,1,2,2,2
1,2,5,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,25,8,182,703481,11362,1,6,2,1,1,2,1,2,1,2,1,2,2,2,5638,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2
5,1,5,1,5,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,36,8,182,703481,11362,3,3,2,2,2,1,2,1,2,2,1,2,2,2,5638,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2
2,1,5,1,5,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,36,8,182,703481,11362,6,2,2,2,2,2,1,2,2,2,1,2,2,2,5638,2,3,1,2,2,3,2,2,1,2,2,2,2,2,2
13,1,6,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,3,2,41,8,182,703481,5681,3,6,3,1,2,1,1,2,1,2,1,1,2,2,5638,1,4,1,2,2,2,2,2,2,2,2,1,2,2,2
3,1,6,1,8,2,1,2,2,1,2,2,2,2,1,2,2,2,9,2,2,2,2,2,2,1,1,25,3,173,701470,6401,3,3,3,1,1,2,1,2,2,2,1,2,2,3,6396,1,4,1,2,2,3,2,1,1,2,2,2,2,2,2
4,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,39,3,173,701470,25604,1,6,3,1,1,2,1,1,1,2,1,1,1,2,6396,1,3,1,2,1,2,1,2,1,2,2,2,2,2,2
3,1,6,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,3,1,23,8,182,703481,11362,3,6,3,1,1,2,2,2,2,2,1,2,2,2,5638,1,5,1,2,2,3,1,1,2,2,2,2,2,2,2
1,1,3,1,8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,70,2,174,701495,7128,5,8,1,2,2,2,2,1,2,2,1,1,1,1,7128,1,3,3,1,2,1,1,2,2,2,1,1,2,2,2
4,1,5,1,8,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1,1,49,4,179,702179,37374,3,3,1,1,2,1,2,2,2,2,2,2,1,1,7447,1,4,1,2,1,3,2,2,2,2,1,1,2,2,2
7,1,5,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,1,36,8,182,703481,11362,2,6,1,1,1,2,1,1,1,2,1,1,1,1,5638,1,2,1,2,1,1,2,2,1,2,2,2,2,2,2
6,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,3,2,44,8,182,703481,5681,3,3,1,2,2,2,1,2,1,2,2,2,2,1,5638,2,4,1,2,2,2,2,2,2,2,2,1,2,2,2
6,2,1,1,1,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,3,1,21,8,182,703481,5681,3,3,1,1,1,2,1,2,2,2,1,1,1,1,5638,1,3,1,2,2,3,1,2,1,1,2,2,2,2,2
3,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,1,1,54,2,172,701374,14592,2,1,1,1,2,2,2,2,2,2,2,2,2,1,4864,2,5,1,2,2,3,9,2,1,2,2,2,2,2,2
19,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,1,38,11,186,762482,10168,5,2,1,1,1,2,1,2,2,2,2,2,2,1,5084,1,5,1,2,2,3,9,2,1,1,2,1,2,2,2
18,1,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,1,26,11,186,762482,25420,3,3,3,1,1,2,1,2,2,2,2,2,2,5,5084,2,5,1,2,2,3,9,2,1,1,2,2,2,2,2
20,1,5,1,8,2,2,2,2,1,2,2,1,2,2,2,2,2,9,2,2,2,2,2,2,4,1,55,11,186,762482,10168,4,8,1,2,2,2,1,2,1,2,2,1,1,1,5084,1,1,1,2,2,3,2,2,1,1,1,1,2,2,2
2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,1,50,11,186,762482,15252,4,2,1,2,2,2,1,2,2,2,2,1,1,1,5084,2,5,1,2,2,3,9,2,1,1,2,1,2,2,2
4,1,5,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,2,32,11,186,762482,15252,0,0,2,2,2,2,1,2,2,2,2,1,2,2,5084,2,5,1,2,2,3,9,2,1,2,2,1,2,2,2
13,1,2,2,5,2,1,2,2,1,2,2,2,1,2,2,2,2,9,2,2,2,2,2,2,4,2,55,11,186,762482,5084,0,0,1,2,2,2,1,2,2,2,2,1,2,1,5084,1,5,1,2,2,3,9,2,1,1,2,1,2,2,2
16,1,6,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,2,20,11,186,762482,20336,0,0,3,2,2,2,1,2,2,2,2,2,2,4,5084,2,5,1,2,2,3,9,2,1,2,2,2,2,2,2
5,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,9,2,2,2,2,2,2,4,1,36,11,186,762482,10168,6,2,1,2,2,2,1,2,1,2,2,2,2,1,5084,2,5,1,2,2,3,9,2,1,1,2,2,2,2,2
5,2,5,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,1,68,11,186,762482,10168,0,0,1,2,2,2,1,2,2,2,2,1,1,1,5084,2,5,1,2,2,3,9,2,1,2,2,1,2,2,2
6,1,6,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,2,48,11,186,762482,10168,0,0,5,2,2,2,1,2,1,2,2,2,2,2,5084,1,5,1,2,2,3,9,2,1,1,2,1,2,2,2
14,1,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,1,4,1,20,11,186,762482,5084,6,2,1,1,2,2,1,1,2,2,2,2,2,1,5084,2,4,1,2,2,3,9,2,1,2,2,2,2,2,2
1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,9,2,2,2,2,2,1,4,1,29,11,186,762482,10168,3,6,1,2,2,2,2,2,1,2,2,2,2,1,5084,1,3,1,2,2,3,2,2,1,2,2,2,2,2,2
21,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,2,34,11,186,762482,10168,0,0,2,2,2,2,1,2,2,2,2,1,2,2,5084,1,4,1,2,2,3,9,2,1,1,2,2,2,2,2
14,1,1,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,2,53,11,187,762487,18660,0,0,2,2,2,2,2,2,2,2,2,1,2,2,6220,2,5,1,2,2,3,9,2,1,2,2,1,2,2,2
13,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,2,28,11,187,762487,12440,6,2,2,2,2,2,1,2,2,2,2,1,2,2,6220,2,4,1,2,2,3,9,2,1,2,2,1,2,2,2
15,1,1,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,1,4,2,21,11,187,762487,12440,3,3,2,1,2,2,1,2,2,2,2,1,2,2,6220,2,5,1,2,2,3,9,2,1,2,2,1,2,2,2
16,1,5,1,1,2,1,2,2,1,2,2,2,1,1,2,2,2,9,1,2,2,2,2,2,4,2,41,11,187,762487,6220,6,2,1,1,2,2,1,2,2,2,2,1,2,1,6220,2,5,1,2,2,3,9,2,1,1,2,1,2,2,2
18,1,6,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,9,2,2,2,2,2,2,4,2,39,11,187,762487,6220,4,2,1,1,2,2,1,2,1,2,2,2,2,1,6220,1,4,1,2,2,3,9,2,1,2,2,2,2,2,2
3,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,1,38,11,186,762482,10168,3,3,1,2,2,2,2,2,2,2,2,1,2,1,5084,1,5,1,2,2,3,2,2,1,1,2,2,2,2,2
3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,9,2,2,2,2,2,2,4,1,23,11,187,762487,18660,6,2,3,2,2,2,1,2,1,2,2,2,2,2,6220,2,5,1,2,2,3,9,2,1,1,2,1,2,2,2
5,1,1,1,5,2,2,2,2,1,2,2,2,2,2,2,2,2,9,2,2,2,2,2,1,4,2,44,11,187,762487,12440,5,2,2,2,2,2,1,2,2,2,2,1,2,2,6220,2,5,1,2,2,3,9,2,1,2,2,1,2,2,2
1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,1,34,11,187,762487,12440,6,2,1,1,2,2,1,2,1,2,2,2,2,1,6220,1,5,1,2,2,3,9,2,1,1,2,1,2,2,2
2,1,6,1,5,1,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,2,18,11,187,762487,18660,6,2,3,1,2,2,2,2,2,2,2,2,2,3,6220,2,5,1,2,2,3,9,2,1,2,2,2,2,2,2
6,1,1,2,5,2,2,2,2,1,2,2,2,1,2,2,2,2,9,2,2,2,2,2,2,4,1,30,11,187,762487,12440,0,0,1,2,2,2,1,2,2,2,2,2,2,1,6220,2,5,1,1,2,3,9,2,1,2,2,1,2,2,2
10,1,6,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,9,2,2,2,2,2,2,4,2,66,11,187,762487,12440,0,0,1,1,2,2,2,2,2,2,2,1,2,1,6220,2,5,1,2,2,3,9,2,1,2,2,1,2,2,2
9,1,1,1,5,2,2,2,2,1,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,2,34,11,187,762487,12440,6,2,2,1,2,2,1,2,2,2,2,1,2,2,6220,2,5,1,2,2,3,9,2,1,2,2,1,2,2,2
7,1,1,1,5,2,1,2,1,2,2,2,2,1,2,2,2,2,9,2,2,2,2,2,2,4,2,23,11,187,762487,12440,3,3,2,2,2,2,1,2,1,2,2,1,2,2,6220,2,5,1,2,2,3,9,2,1,2,2,1,2,2,2
11,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,1,31,11,187,762487,12440,3,3,1,2,2,2,1,2,1,2,2,2,2,1,6220,1,4,1,2,1,2,2,2,1,1,2,1,2,2,2
4,1,1,1,5,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,23,8,182,703481,11362,3,3,5,2,2,2,1,2,2,2,2,2,2,3,5638,2,3,1,2,2,2,2,2,2,2,2,1,2,2,2
7,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,9,2,2,2,2,2,2,4,1,23,11,186,762482,10168,3,3,1,2,2,2,1,2,2,2,2,1,2,1,5084,1,5,1,2,2,3,9,2,1,1,2,1,2,2,2
9,1,1,2,5,2,2,2,2,1,2,2,2,2,2,2,2,2,9,2,2,2,2,2,1,4,2,43,11,186,762482,15252,0,0,2,2,2,2,1,2,2,2,2,1,2,2,5084,2,5,1,2,2,3,9,2,1,2,2,1,2,2,2
10,1,5,2,5,2,1,2,2,1,2,2,2,2,1,2,2,2,9,2,2,2,2,2,1,4,2,58,11,186,762482,20336,0,0,2,2,2,2,1,2,2,2,2,1,2,2,5084,2,5,1,2,2,3,2,2,1,2,2,1,2,2,2
11,1,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,2,42,11,186,762482,10168,2,2,1,2,2,2,1,2,2,2,2,1,2,1,5084,2,4,1,2,2,3,2,2,1,2,2,1,2,2,2
12,1,2,1,5,2,2,2,2,1,2,2,2,1,2,2,2,2,9,2,2,2,2,2,2,4,2,24,11,187,762487,6220,6,2,1,2,2,1,1,2,2,2,1,2,2,1,6220,2,1,1,2,2,3,9,2,1,1,2,1,2,2,2
17,1,5,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,4,2,40,11,187,762487,18660,6,2,2,2,2,2,2,2,2,2,2,2,2,2,6220,2,4,1,2,2,3,9,2,1,2,2,2,2,2,2
2,1,5,1,5,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,28,2,175,701577,13226,0,0,2,2,2,2,2,2,2,2,1,2,2,2,6613,2,4,1,2,2,3,2,2,1,2,2,2,2,2,2
4,1,5,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,59,2,175,701577,26452,3,3,2,1,2,1,2,2,2,2,1,2,2,2,6613,1,5,1,2,2,3,2,2,1,2,2,2,2,2,2
3,1,5,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,58,2,175,701577,19839,6,2,1,2,2,2,2,2,2,2,2,2,2,1,6613,2,5,1,1,2,3,2,2,1,1,2,1,2,2,2
5,1,4,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,36,2,175,701577,13226,6,2,1,2,2,2,1,2,2,2,2,1,1,1,6613,1,4,1,2,2,3,2,2,1,2,2,1,2,2,2
1,1,6,1,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,23,2,177,702057,23308,3,6,3,1,2,1,1,2,2,2,2,2,1,3,5827,2,4,1,2,2,3,2,1,1,2,2,2,2,2,2
2,1,6,1,4,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,23,2,177,702057,23308,4,8,3,2,2,2,1,2,1,2,2,1,1,3,5827,1,4,1,2,2,3,1,1,1,2,2,2,2,2,2
3,1,1,1,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,45,2,177,702057,11654,3,3,2,2,2,2,2,2,2,2,2,2,2,2,5827,2,4,1,1,2,3,2,2,1,2,2,2,2,2,2
4,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,41,2,177,702057,17481,6,2,5,2,2,2,2,2,2,2,1,1,1,2,5827,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2
2,1,5,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,64,3,176,701827,10442,3,6,1,1,2,1,2,1,2,2,1,2,1,1,5217,1,3,2,2,1,3,1,2,2,2,1,1,2,2,2
1,2,6,1,1,2,1,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,2,1,1,21,2,175,701577,6613,3,6,1,1,2,2,1,2,2,2,2,2,1,1,6613,1,4,1,2,2,3,2,1,2,2,2,2,2,2,2
