"VIV_SEL","TLOC","REGION","EST_DIS","UPM_DIS","P1_1","P1_2","FAC_VIV","UPM"
2,1,1,10,80,3,1,3011,202629
3,1,1,10,80,1,1,3011,202629
5,1,1,10,80,5,1,3011,202629
1,1,1,8,81,3,1,2703,202995
2,1,1,8,81,6,1,2703,202995
3,1,1,8,81,6,1,2703,202995
4,1,1,8,81,4,1,2703,202995
5,1,1,8,81,3,1,2703,202995
1,1,1,8,82,7,2,2049,203333
2,1,1,8,82,2,1,2049,203333
3,1,1,8,82,2,1,2049,203333
4,1,1,8,82,5,1,2049,203333
5,1,1,8,82,3,1,2049,203333
1,1,1,9,83,2,1,2120,203336
2,1,1,9,83,1,1,2120,203336
3,1,1,9,83,9,1,2120,203336
4,1,1,9,83,2,1,2120,203336
5,1,1,9,83,1,1,2120,203336
2,1,1,9,84,5,1,2540,203366
3,1,1,9,84,5,1,2540,203366
4,1,1,9,84,3,1,2540,203366
5,1,1,9,84,8,1,2540,203366
1,1,1,8,85,3,1,2616,203403
3,1,1,8,85,3,1,2616,203403
4,1,1,8,85,1,1,2616,203403
5,1,1,8,85,4,1,2616,203403
1,1,1,9,86,5,1,1549,203406
2,1,1,9,86,2,1,1549,203406
3,1,1,9,86,2,1,1549,203406
1,1,1,8,87,1,1,2173,203450
2,1,1,8,87,4,1,2173,203450
3,1,1,8,87,2,1,2173,203450
4,1,1,8,87,2,1,2173,203450
5,1,1,8,87,4,1,2173,203450
1,1,1,8,88,4,1,3196,203456
2,1,1,8,88,4,1,3196,203456
3,1,1,8,88,5,1,3196,203456
4,1,1,8,88,4,1,3196,203456
5,1,1,8,88,4,1,3196,203456
1,1,1,9,89,6,1,2016,203561
2,1,1,9,89,5,1,2016,203561
4,1,1,9,89,1,1,2016,203561
5,1,1,9,89,1,1,2016,203561
1,1,1,8,90,4,1,3217,203654
2,1,1,8,90,3,1,3217,203654
3,1,1,8,90,2,1,3217,203654
4,1,1,8,90,3,1,3217,203654
5,1,1,8,90,1,1,3217,203654
1,1,1,8,91,4,1,2485,203914
3,1,1,8,91,3,1,2485,203914
4,1,1,8,91,3,1,2485,203914
5,1,1,8,91,1,1,2485,203914
1,1,1,8,92,4,1,2877,204023
2,1,1,8,92,2,1,2877,204023
4,1,1,8,92,4,1,2877,204023
5,1,1,8,92,3,1,2877,204023
1,1,1,8,93,2,1,2564,204117
2,1,1,8,93,1,1,2564,204117
3,1,1,8,93,5,1,2564,204117
4,1,1,8,93,6,1,2564,204117
5,1,1,8,93,2,1,2564,204117
1,1,1,8,94,3,1,2439,204200
2,1,1,8,94,3,1,2439,204200
3,1,1,8,94,2,1,2439,204200
4,1,1,8,94,2,1,2439,204200
5,1,1,8,94,3,1,2439,204200
1,1,1,9,95,1,1,2557,204301
2,1,1,9,95,3,1,2557,204301
3,1,1,9,95,3,1,2557,204301
4,1,1,9,95,2,1,2557,204301
5,1,1,9,95,1,1,2557,204301
1,1,1,8,96,4,1,2982,204529
2,1,1,8,96,1,1,2982,204529
3,1,1,8,96,2,1,2982,204529
5,1,1,8,96,2,1,2982,204529
1,1,1,9,97,1,1,2621,204612
2,1,1,9,97,4,1,2621,204612
3,1,1,9,97,3,1,2621,204612
4,1,1,9,97,1,1,2621,204612
5,1,1,9,97,1,1,2621,204612
1,1,1,10,98,3,1,3325,204621
2,1,1,10,98,5,1,3325,204621
3,1,1,10,98,4,1,3325,204621
4,1,1,10,98,4,1,3325,204621
5,1,1,10,98,4,1,3325,204621
1,1,1,9,99,2,1,2023,204694
2,1,1,9,99,4,1,2023,204694
3,1,1,9,99,4,1,2023,204694
4,1,1,9,99,2,1,2023,204694
5,1,1,9,99,2,1,2023,204694
1,1,1,8,100,3,1,2700,204829
2,1,1,8,100,1,1,2700,204829
3,1,1,8,100,3,1,2700,204829
4,1,1,8,100,2,1,2700,204829
5,1,1,8,100,3,1,2700,204829
1,1,1,9,101,1,1,2304,204909
2,1,1,9,101,4,1,2304,204909
3,1,1,9,101,3,1,2304,204909
4,1,1,9,101,2,1,2304,204909
5,1,1,9,101,2,1,2304,204909
1,1,1,8,102,1,1,2808,204924
2,1,1,8,102,5,1,2808,204924
3,1,1,8,102,4,1,2808,204924
4,1,1,8,102,1,1,2808,204924
5,1,1,8,102,1,1,2808,204924
1,1,1,9,103,4,1,2831,204963
2,1,1,9,103,3,1,2831,204963
3,1,1,9,103,7,1,2831,204963
4,1,1,9,103,5,1,2831,204963
5,1,1,9,103,3,1,2831,204963
1,1,1,8,104,2,1,2782,205552
2,1,1,8,104,5,1,2782,205552
3,1,1,8,104,1,1,2782,205552
4,1,1,8,104,4,1,2782,205552
5,1,1,8,104,6,1,2782,205552
1,1,1,8,105,4,1,2527,205604
3,1,1,8,105,6,1,2527,205604
4,1,1,8,105,4,1,2527,205604
5,1,1,8,105,1,1,2527,205604
1,1,1,9,106,5,1,2347,205619
3,1,1,9,106,2,1,2347,205619
4,1,1,9,106,3,1,2347,205619
5,1,1,9,106,4,1,2347,205619
1,1,1,9,107,1,1,2589,205844
2,1,1,9,107,5,1,2589,205844
3,1,1,9,107,4,1,2589,205844
5,1,1,9,107,5,1,2589,205844
1,1,1,9,108,2,1,2154,205857
2,1,1,9,108,3,1,2154,205857
3,1,1,9,108,4,1,2154,205857
5,1,1,9,108,3,1,2154,205857
1,1,1,10,109,2,1,2862,206161
2,1,1,10,109,2,1,2862,206161
3,1,1,10,109,5,1,2862,206161
