UPM,VIV_SEL,HOGAR,N_REN,EDAD,SEXO,REGION,TLOC,EST_DIS,UPM_DIS,FAC_PER,GRA,NIV,P3_1,P3_12,P3_2,P3_3,P3_5,P4_1,P4_4_1,P4_4_2,P4_4_3,P4_4_4,P4_4_5,P4_4_6,P4_4_7,P4_5,P4_7,P4_8_1,P4_8_2,P4_8_3,P4_8_4,P4_9_1,P4_9_2,P4_9_3,P5_1_1,P5_1_2,P5_1_3,P5_1_4,P5_1_5,P5_1_6,P5_29,P5_3,P5_4,P6_18,P6_1_1,P6_1_2,P6_1_3,P6_1_4,P6_1_5,P6_3,P10_1,P10_13,P10_8,P11_1_1,P11_1_2,P11_1_3,P11_2_1,P11_2_2,P11_2_3,P11_2_4,P11_2_9,P12_1,P12_2,P12_3,P12_4,P13_1,P13_2_1,P13_2_2,P13_2_3,P13_2_4,P7_1_1,P7_1_2,P7_1_3,P7_1_4,P7_1_5,P7_1_6,P7_1_7,P8_1,P9_1,P9_9_1,P9_9_2,P9_9_3,P9_9_4,P9_9_5
100502,1,1,3,23,1,3,1,5,15,5430,5,8,3,1,6,0,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,3,2,2,2,2,2,2,1,1,1,2,2,2,1,0,0,0,0,1,2,1.0,3,2,2,1,2,2,1,2,9,9,1,1,1,1,1,2,1,1,2,2
100502,3,1,2,23,1,3,1,5,15,4073,5,8,3,1,6,0,1,2,1,2,1,1,1,2,2,2,1,2,8,1,1,1,2,2,2,2,2,2,2,1,2,2,1,3,2,2,2,1,2,2,2,1,1,2,2,2,0,0,0,0,1,1,2,2.0,3,2,2,2,2,2,1,1,9,9,9,9,9,1,9,1,1,1,2,2
100502,4,1,2,44,2,3,1,5,15,2581,5,8,2,1,5,3,1,1,2,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,0,1,0,0,0,1,2,2.0,3,2,1,1,2,2,1,2,9,3,1,1,9,1,1,2,1,2,2,2
100502,5,1,1,67,1,3,1,5,15,2626,4,8,1,1,5,1,8,2,1,2,2,2,2,2,2,1,2,1,1,2,3,1,2,1,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,3,3.0,3,2,1,1,2,2,1,1,9,1,1,1,9,1,2,2,2,2,1,2
100504,2,1,2,54,2,3,1,5,16,5242,6,2,2,1,5,0,1,2,2,2,1,1,2,1,2,1,2,1,2,3,3,1,1,1,2,2,2,2,1,2,1,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,1,0,0,0,1,3,3.0,3,2,2,1,2,2,1,1,1,1,1,1,9,2,2,2,2,2,1,2
100504,3,1,1,53,2,3,1,5,16,5242,4,8,2,1,5,0,1,2,2,2,1,2,2,2,2,1,2,1,1,1,3,1,9,1,2,2,2,2,2,2,2,1,1,3,2,2,2,2,2,2,1,2,1,2,2,2,0,0,0,1,0,1,2,2.0,3,1,1,1,2,2,1,1,9,1,1,1,9,1,2,2,2,2,1,2
100504,4,1,1,37,1,3,1,5,16,2925,2,9,1,1,5,4,1,1,1,2,1,1,1,1,2,1,2,1,1,3,1,1,2,1,2,2,2,2,2,2,2,1,1,3,2,2,2,2,2,1,2,1,1,1,2,2,0,1,1,0,0,1,2,1.0,3,2,2,1,2,2,1,1,1,1,1,1,9,2,1,2,1,2,2,2
100565,1,1,1,40,2,3,1,4,17,1051,3,6,1,1,3,2,1,2,1,1,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,2,2,2,0,1,0,0,0,1,1,1.0,3,1,1,2,2,2,1,1,9,1,1,1,1,2,1,2,1,2,1,2
100565,2,1,1,47,1,3,1,4,17,4509,3,3,1,1,5,2,1,2,1,2,1,1,2,2,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,1,3,2,2,2,2,2,2,2,1,1,2,2,2,1,0,0,0,0,1,2,1.0,3,2,1,1,2,2,1,1,9,1,1,1,9,1,1,1,1,2,1,2
100565,3,1,3,23,2,3,1,4,17,4256,2,8,3,1,6,0,1,2,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,3,2,2,1,1,2,2,2,2,1,2,2,2,0,0,1,0,0,1,2,2.0,3,2,2,2,2,2,1,1,9,9,1,1,1,2,2,1,1,1,2,2
