UPM,VIV_SEL,HOGAR,N_REN,SEXO,EDAD,REGION,TLOC,EST_DIS,UPM_DIS,FAC_HOG
100996,2,1,2,1,26,3,1,4,28,1185
100996,2,1,3,2,2,3,1,4,28,1185
100996,2,1,4,2,47,3,1,4,28,1185
100996,3,1,1,2,26,3,1,4,28,1185
100996,3,1,2,1,24,3,1,4,28,1185
100996,4,1,1,2,22,3,1,4,28,1185
100996,4,1,2,1,28,3,1,4,28,1185
100996,4,1,3,2,6,3,1,4,28,1185
100996,4,1,4,1,3,3,1,4,28,1185
100996,5,1,1,1,50,3,1,4,28,1185
100996,5,1,2,2,40,3,1,4,28,1185
100996,5,1,3,1,19,3,1,4,28,1185
100996,5,1,4,1,18,3,1,4,28,1185
100996,5,1,5,1,14,3,1,4,28,1185
100996,5,1,6,1,10,3,1,4,28,1185
101024,1,1,1,2,51,3,1,4,29,1169
101024,1,1,2,2,20,3,1,4,29,1169
101024,1,1,3,1,51,3,1,4,29,1169
101024,3,1,1,1,74,3,1,4,29,1169
101024,3,1,2,2,78,3,1,4,29,1169
101024,4,1,1,1,60,3,1,4,29,1169
101024,4,1,2,2,25,3,1,4,29,1169
101024,5,1,1,2,39,3,1,4,29,1169
101024,5,1,2,2,43,3,1,4,29,1169
101024,5,1,3,2,13,3,1,4,29,1169
101024,5,1,4,2,12,3,1,4,29,1169
101042,1,1,1,1,33,3,1,4,30,1167
101042,1,1,2,2,28,3,1,4,30,1167
101042,2,1,1,1,28,3,1,4,30,1167
101042,2,1,2,2,25,3,1,4,30,1167
101042,2,1,3,1,4,3,1,4,30,1167
101042,2,1,4,1,2,3,1,4,30,1167
101042,3,1,1,1,50,3,1,4,30,1167
101042,3,1,2,2,48,3,1,4,30,1167
101042,3,1,3,1,22,3,1,4,30,1167
101042,3,1,4,2,22,3,1,4,30,1167
101042,3,1,5,2,20,3,1,4,30,1167
101042,4,1,1,1,41,3,1,4,30,1167
101042,4,1,2,2,34,3,1,4,30,1167
101042,4,1,3,2,11,3,1,4,30,1167
101042,4,1,4,2,10,3,1,4,30,1167
101042,4,1,5,1,0,3,1,4,30,1167
101042,5,1,1,1,25,3,1,4,30,1167
101042,5,1,2,2,27,3,1,4,30,1167
101075,1,1,1,1,61,3,1,3,31,1140
101075,1,1,2,2,56,3,1,3,31,1140
101075,1,1,3,1,28,3,1,3,31,1140
101075,2,1,1,2,50,3,1,3,31,1140
101075,2,1,2,1,51,3,1,3,31,1140
101075,2,1,3,1,19,3,1,3,31,1140
101075,2,1,4,2,26,3,1,3,31,1140
101075,2,1,5,1,28,3,1,3,31,1140
101075,2,1,6,2,1,3,1,3,31,1140
101075,2,1,7,2,6,3,1,3,31,1140
101075,3,1,1,1,45,3,1,3,31,1140
101075,3,1,2,2,46,3,1,3,31,1140
101075,3,1,3,1,17,3,1,3,31,1140
101075,3,1,4,1,16,3,1,3,31,1140
101075,4,1,1,1,45,3,1,3,31,1140
101075,4,1,2,2,41,3,1,3,31,1140
101075,4,1,3,1,23,3,1,3,31,1140
101075,4,1,4,1,22,3,1,3,31,1140
101075,4,1,5,1,10,3,1,3,31,1140
101075,4,1,6,1,7,3,1,3,31,1140
101075,4,1,7,2,5,3,1,3,31,1140
101075,4,1,8,2,4,3,1,3,31,1140
101075,5,1,1,1,31,3,1,3,31,1140
101075,5,1,2,2,26,3,1,3,31,1140
101152,1,1,1,2,35,3,1,4,32,1168
101152,1,1,2,1,17,3,1,4,32,1168
101152,1,1,3,1,13,3,1,4,32,1168
101152,2,1,1,1,57,3,1,4,32,1168
101152,2,1,2,2,61,3,1,4,32,1168
101152,4,1,1,1,54,3,1,4,32,1168
101152,4,1,2,2,51,3,1,4,32,1168
101152,4,1,3,2,28,3,1,4,32,1168
101152,4,1,4,2,23,3,1,4,32,1168
101152,4,1,5,1,18,3,1,4,32,1168
101152,4,1,6,2,3,3,1,4,32,1168
101152,4,1,7,1,1,3,1,4,32,1168
101152,4,1,8,2,1,3,1,4,32,1168
101152,5,1,1,1,53,3,1,4,32,1168
101152,5,1,2,1,26,3,1,4,32,1168
101152,5,1,3,2,28,3,1,4,32,1168
101215,1,1,1,1,21,3,1,4,33,1130
101215,1,1,2,2,16,3,1,4,33,1130
101215,2,1,1,1,24,3,1,4,33,1130
101215,2,1,2,2,23,3,1,4,33,1130
