UPM,VIV_SEL,HOGAR,N_REN,P7_1_1,P7_1_2,P7_1_3,P7_1_4,P7_1_5,P7_1_6,P7_1_7,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6_1,P8_7_1,P8_8_1,P8_9_1,P8_10_1,P8_11_1,P8_6_2,P8_7_2,P8_8_2,P8_9_2,P8_10_2,P8_11_2,P8_6_3,P8_7_3,P8_8_3,P8_9_3,P8_10_3,P8_11_3,P8_6_4,P8_7_4,P8_8_4,P8_9_4,P8_10_4,P8_11_4,P8_6_5,P8_7_5,P8_8_5,P8_9_5,P8_10_5,P8_11_5,P8_6_6,P8_6_7,P8_6_8,P8_12_1,P8_12_2,P8_12_3,P8_12_4,P8_12_5,P8_13,P8_14_1,P8_14_2,P8_14_3,P8_14_4,P8_14_5,P9_1,P9_2,P9_3,P9_4,P9_5,P9_6,P9_7,P9_8,P9_9_1,P9_9_2,P9_9_3,P9_9_4,P9_9_5,P10_1,P10_2,P10_3_1,P10_3_2,P10_3_3,P10_3_4,P10_3_5,P10_3_6,P10_3_7,P10_4_1,P10_4_2,P10_5,P10_6_1,P10_6_2,P10_7_1,P10_7_2,P10_8,P10_9,P10_10_1,P10_10_2,P10_10_3,P10_10_4,P10_10_5,P10_10_6,P10_10_7,P10_11_1,P10_11_2,P10_12,P10_13,P10_14,P10_15_1,P10_15_2,P10_16,P11_1_1,P11_1_2,P11_1_3,P11_2_1,P11_2_2,P11_2_3,P11_2_4,P11_2_9,P11_3,P11_4_1,P11_5_1,P11_6_1,P11_4_2,P11_5_2,P11_6_2,P11_4_3,P11_5_3,P11_6_3,P11_4_4,P11_5_4,P11_6_4,P12_1,P12_2,P12_3,P12_4,P13_1,P13_2_1,P13_3_1,P13_4_1,P13_2_2,P13_3_2,P13_4_2,P13_2_3,P13_3_3,P13_4_3,P13_2_4,EDAD,SEXO,REGION,TLOC,EST_DIS,UPM_DIS,FAC_PER
0100397,03,01,03,1,1,9,9,1,1,1,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,99,,,,,,2,1,2,2,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,2,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,2,3,2,2,,,2,,,2,,,2,40,2,3,1,003,00011,900
0100397,04,01,01,2,2,9,9,2,2,1,1,,,,,1,2,,,3,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,2,2,,,,,,,,,,,,1,,01,2,4,1,1,,1,1,2,1,2,2,3,,,,,,,,,,,,,,,1,,1,1,0,0,0,0,0,00,05,000,2,1,,,,2,2,2,1,0,0,0,0,2,,,,,,,,,,,,,1,1,9,3,2,2,,,2,,,2,,,2,34,2,3,1,003,00011,2685
0100397,05,01,02,1,1,9,4,1,1,1,1,,,,,1,2,,,1,,1,2,,,1,,1,2,,,1,,1,2,,,1,,1,2,,,1,,2,1,2,,,,,,,,,,,,1,,02,2,3,1,1,,2,1,1,1,2,1,,1,1,0,0,0,0,0,00,05,000,00,30,1,2,1,,1,0,0,0,0,0,0,00,05,000,2,1,,,,2,2,2,0,1,0,0,0,2,,,,,,,,,,,,,1,1,1,3,2,2,,,2,,,2,,,2,42,2,3,1,003,00011,1801
0100446,01,01,04,1,1,1,9,1,1,9,2,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,2,2,1,1,2,1,,0,1,0,0,0,0,0,00,10,000,01,30,2,2,2,8,,,,,,,,,,,1,,00,05,000,2,2,2,0,0,0,1,0,2,,,,,,,,,,,,,1,2,2,3,2,2,,,1,1,2,2,,,2,20,1,3,1,003,00012,3945
0100446,02,01,03,1,1,9,1,1,9,9,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,2,2,2,2,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,2,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,3,2,3,2,,,2,,,2,,,2,25,1,3,1,003,00012,2959
0100446,03,01,03,1,1,9,1,1,9,1,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,09,2,1,1,1,,1,1,1,1,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,00,20,000,2,2,2,0,0,0,1,0,2,,,,,,,,,,,,,1,1,1,3,2,2,,,1,1,3,2,,,2,37,1,3,1,003,00012,3432
0100446,04,01,02,1,1,9,1,1,1,1,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,2,1,2,1,2,2,8,,,,,,,,,,,,,,,1,,1,1,0,0,0,0,0,00,10,000,1,,00,05,000,2,2,1,0,0,0,1,0,2,,,,,,,,,,,,,1,2,2,3,2,2,,,2,,,2,,,2,57,2,3,1,003,00012,2051
0100446,05,01,02,1,1,1,9,1,1,9,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,9,2,1,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,1,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,1,2,2,2,,,2,,,2,,,2,32,2,3,1,003,00012,1864
0100451,01,01,01,1,1,1,9,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,2,1,2,2,2,2,6,,,,,,,,,,,,,,,1,,1,0,0,0,0,0,0,00,10,000,1,,00,05,000,2,2,2,1,0,0,0,0,2,,,,,,,,,,,,,1,2,1,2,1,2,,,2,,,2,,,2,60,1,3,1,003,00013,977
0100451,02,01,03,1,1,9,9,1,1,1,2,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,09,2,4,1,3,,2,2,1,1,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,00,05,000,2,2,2,0,1,0,0,0,2,,,,,,,,,,,,,1,1,1,3,4,2,,,2,,,2,,,2,32,1,3,1,003,00013,4690
0100451,03,01,02,1,1,9,1,1,1,9,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,9,2,1,2,2,6,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,00,20,000,2,2,2,0,0,1,0,0,2,,,,,,,,,,,,,1,1,1,3,2,2,,,2,,,2,,,2,55,2,3,1,003,00013,2102
0100451,04,01,01,1,1,9,1,1,9,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,2,2,2,2,1,,,,,,,,,,,,,,,2,3,,,,,,,,,,,1,,00,10,000,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,1,1,1,1,2,,,2,,,2,,,2,66,2,3,1,003,00013,4040
0100451,05,01,01,1,1,1,9,1,1,1,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,05,2,1,1,1,,1,1,2,2,2,2,3,,,,,,,,,,,,,,,1,,1,0,0,0,0,0,0,00,10,000,1,,01,00,000,2,2,2,0,0,0,1,0,2,,,,,,,,,,,,,1,2,1,3,1,2,,,2,,,2,,,2,48,2,3,1,003,00013,961
0100483,01,01,01,1,2,1,1,1,1,9,1,,,,,2,,,,,,2,,,,,,1,1,1,1,1,,2,,,,,,2,,,,,,2,2,2,2,2,2,1,2,1,1,1,2,2,1,2,2,,,,,,,1,1,2,2,2,1,,0,1,0,0,0,1,0,00,02,000,00,15,1,2,1,,1,0,0,0,0,0,0,00,02,000,1,,00,02,000,2,2,2,1,0,0,0,0,2,,,,,,,,,,,,,1,1,3,3,1,2,,,1,1,3,2,,,2,27,2,3,1,004,00014,1419
