"VIV_SEL","HOGAR","P3_2","P3_5","P4_1","P4_5","P5_1_3","P5_1_4","P5_1_6","P5_1_5","P5_1_1","P5_1_2","P6_1_4","P6_1_3","P6_1_1","P6_1_2","P6_1_5","P9_1","P10_1","P11_3_1","P11_3_2","P11_3_4","P14_1","TLOC","SEXO","EDAD","EST_DIS","UPM_DIS","FOLIO","FAC_ELE","GRA","NIV","P10_4","N_REN","P3_11","P5_23","P6_2_2","P6_17","P8_1","P10_7","P11_3_9","P14_2_3","P14_2_2","P14_2_1","P14_2_4","EDICION","REGION"
2,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,31,3,11,3361553,11899,3,3,1,1,1,1,2,3,1,2,2,2,2,1,2,1,
2,1,5,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,1,1,2,44,2,18,3362202,26065,3,3,1,1,1,2,1,3,1,1,2,2,2,1,2,1,
5,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,23,2,24,3362611,22366,6,2,1,1,1,1,1,2,2,2,2,2,1,1,2,1,
3,1,3,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,58,2,24,3362611,11183,3,2,2,1,1,2,2,3,2,2,1,2,2,1,2,1,
4,1,5,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,1,1,47,3,9,3361482,17966,3,6,2,1,1,1,2,2,2,2,2,2,2,1,2,1,
1,1,6,4,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,19,3,10,3361518,21384,3,6,2,4,1,1,2,3,1,1,2,2,2,2,2,1,
5,1,3,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,2,44,3,10,3361518,10692,3,3,1,1,1,2,1,2,2,2,2,2,1,1,2,1,
5,1,5,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,49,3,11,3361553,11899,6,2,2,1,1,1,2,3,2,2,1,2,2,2,1,1,
2,1,6,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,21,3,15,3361774,14393,3,8,1,2,1,2,2,3,2,2,1,2,2,2,2,1,
3,1,5,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,40,3,14,3361645,10556,3,4,1,2,1,2,1,2,1,2,2,2,2,1,2,1,
4,1,5,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,28,3,14,3361645,10556,3,6,2,2,1,2,2,3,1,1,2,2,2,2,2,1,
5,1,1,5,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,25,3,14,3361645,15834,3,3,2,3,1,2,2,3,2,2,1,2,2,2,2,1,
5,1,5,6,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,58,3,9,3361482,11977,3,4,1,2,1,2,2,3,1,1,2,2,1,1,2,1,
13,1,5,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,4,2,68,12,28,3420787,14982,0,0,2,3,2,2,2,3,2,2,1,2,2,2,2,1,
14,1,1,5,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,4,2,32,12,28,3420787,4994,3,3,2,2,1,2,2,3,2,2,1,2,2,1,2,1,
