"VIV_SEL","HOGAR","SEXO","EDAD","FOLIO","FAC_HOG","N_REN"
3,1,1,1,5961399,7343,4
5,1,1,63,5961399,7343,1
5,1,2,58,5961399,7343,2
2,1,1,51,5961408,5860,1
2,1,1,21,5961408,5860,2
2,1,2,21,5961408,5860,3
2,1,1,46,5961408,5860,4
2,1,1,0,5961408,5860,5
2,1,2,18,5961408,5860,6
4,1,2,5,5961408,5860,1
4,1,1,43,5961408,5860,2
4,1,2,38,5961408,5860,3
5,1,1,57,5961408,5860,1
5,1,2,58,5961408,5860,2
5,1,1,7,5961408,5860,3
1,1,2,50,5961546,6409,1
1,1,1,78,5961546,6409,2
1,1,2,75,5961546,6409,3
1,1,1,58,5961546,6409,4
1,1,2,19,5961546,6409,5
1,1,2,15,5961546,6409,6
2,1,1,49,5961546,6409,1
2,1,2,47,5961546,6409,2
2,1,2,20,5961546,6409,3
2,1,1,16,5961546,6409,4
3,1,1,40,5961546,6409,1
3,1,2,38,5961546,6409,2
3,1,1,16,5961546,6409,3
3,1,2,12,5961546,6409,4
3,1,2,9,5961546,6409,5
4,1,1,39,5961546,6409,1
4,1,2,38,5961546,6409,2
4,1,1,11,5961546,6409,3
4,1,2,4,5961546,6409,4
4,1,2,1,5961546,6409,5
4,1,1,65,5961546,6409,6
4,1,2,63,5961546,6409,7
5,1,1,27,5961546,6409,1
1,1,1,47,5961564,4054,1
1,1,2,42,5961564,4054,2
1,1,1,11,5961564,4054,3
1,1,2,5,5961564,4054,4
1,2,2,34,5961564,4054,1
3,1,1,39,5961564,4054,1
3,1,2,35,5961564,4054,2
3,1,1,6,5961564,4054,3
3,1,1,4,5961564,4054,4
5,1,1,50,5961564,4054,1
5,1,2,49,5961564,4054,2
5,1,2,25,5961564,4054,3
5,1,2,22,5961564,4054,4
6,1,2,50,5961564,4054,1
6,1,2,26,5961564,4054,2
6,1,1,17,5961564,4054,3
6,1,2,16,5961564,4054,4
6,1,2,8,5961564,4054,5
7,1,2,34,5961564,4054,1
7,1,2,7,5961564,4054,2
7,1,2,4,5961564,4054,3
8,1,1,28,5961564,4054,1
8,1,1,28,5961564,4054,2
8,1,1,4,5961564,4054,3
9,1,1,76,5961564,4054,1
9,1,2,63,5961564,4054,2
9,1,1,31,5961564,4054,3
10,1,1,32,5961564,4054,1
11,1,1,38,5961564,4054,1
11,1,2,36,5961564,4054,2
11,1,1,14,5961564,4054,3
11,1,2,11,5961564,4054,4
13,1,2,32,5961564,4054,1
14,1,1,32,5961564,4054,1
14,1,2,32,5961564,4054,2
14,1,1,11,5961564,4054,3
14,1,2,4,5961564,4054,4
15,1,1,55,5961564,4054,1
15,1,2,52,5961564,4054,2
15,1,2,32,5961564,4054,3
15,1,2,4,5961564,4054,4
16,1,1,45,5961564,4054,1
16,1,2,40,5961564,4054,2
16,1,2,18,5961564,4054,3
16,1,1,13,5961564,4054,4
17,1,1,46,5961564,4054,1
17,1,2,41,5961564,4054,2
17,1,1,18,5961564,4054,3
18,1,1,60,5961564,4054,1
18,1,2,23,5961564,4054,2
18,1,2,56,5961564,4054,3
18,1,1,20,5961564,4054,4
18,1,1,26,5961564,4054,5
19,1,1,50,5961564,4054,1
19,1,2,42,5961564,4054,2
19,1,1,22,5961564,4054,4
20,1,1,59,5961564,4054,1
20,1,2,49,5961564,4054,2
20,1,2,19,5961564,4054,3
20,1,2,0,5961564,4054,4
1,1,2,59,5961607,4323,1
3,1,2,52,5961607,4323,1
3,1,1,27,5961607,4323,2
3,1,1,13,5961607,4323,3
4,1,1,34,5961607,4323,1
4,1,2,34,5961607,4323,2
4,1,2,9,5961607,4323,3
4,1,1,15,5961607,4323,4
4,1,1,8,5961607,4323,5
6,1,1,58,5961607,4323,1
6,1,2,56,5961607,4323,2
8,1,1,88,5961607,4323,1
8,1,2,59,5961607,4323,2
8,1,2,37,5961607,4323,3
8,1,2,26,5961607,4323,4
8,1,1,25,5961607,4323,5
9,1,1,59,5961607,4323,1
9,1,2,53,5961607,4323,2
9,1,1,28,5961607,4323,3
9,2,1,37,5961607,4323,1
9,2,2,22,5961607,4323,2
9,2,1,15,5961607,4323,3
9,2,1,2,5961607,4323,4
9,2,2,1,5961607,4323,5
10,1,1,26,5961607,4323,1
10,1,2,19,5961607,4323,2
10,1,2,0,5961607,4323,3
11,1,2,41,5961607,4323,1
12,1,2,38,5961607,4323,1
12,1,2,32,5961607,4323,2
13,1,1,73,5961607,4323,1
13,1,2,68,5961607,4323,2
13,1,1,45,5961607,4323,3
14,1,1,99,5961607,4323,1
14,1,2,38,5961607,4323,2
14,1,2,19,5961607,4323,3
14,1,2,12,5961607,4323,4
14,1,1,10,5961607,4323,5
14,1,1,4,5961607,4323,6
15,1,1,58,5961607,4323,1
15,1,2,54,5961607,4323,2
16,1,1,53,5961607,4323,1
16,1,2,52,5961607,4323,2
16,1,2,25,5961607,4323,3
16,1,2,0,5961607,4323,4
17,1,2,32,5961607,4323,1
17,1,2,15,5961607,4323,2
17,1,1,12,5961607,4323,3
17,1,1,26,5961607,4323,4
18,1,1,77,5961607,4323,1
18,1,1,20,5961607,4323,2
18,1,2,15,5961607,4323,3
20,1,1,28,5961607,4323,1
20,1,2,25,5961607,4323,2
20,1,2,2,5961607,4323,3
1,1,2,57,5962300,3926,1
1,1,2,30,5962300,3926,2
2,1,1,35,5962300,3926,1
2,1,2,24,5962300,3926,2
2,1,1,5,5962300,3926,3
2,1,1,0,5962300,3926,4
3,1,1,31,5962300,3926,1
3,1,2,28,5962300,3926,2
3,1,2,7,5962300,3926,3
5,1,1,61,5962300,3926,1
5,1,2,58,5962300,3926,2
5,1,1,30,5962300,3926,3
6,1,1,18,5962300,3926,1
6,2,1,19,5962300,3926,1
6,3,1,18,5962300,3926,1
6,4,1,19,5962300,3926,1
7,1,1,31,5962300,3926,1
7,1,2,32,5962300,3926,2
7,1,1,14,5962300,3926,3
7,1,2,6,5962300,3926,4
8,1,1,35,5962300,3926,1
8,1,2,37,5962300,3926,2
8,1,1,11,5962300,3926,3
8,1,1,10,5962300,3926,4
10,1,1,34,5962300,3926,1
11,1,1,66,5962300,3926,1
11,1,2,63,5962300,3926,2
12,1,1,27,5962300,3926,1
12,1,2,29,5962300,3926,2
13,1,2,33,5962300,3926,1
13,1,2,15,5962300,3926,2
13,1,2,10,5962300,3926,3
13,1,1,6,5962300,3926,4
14,1,1,54,5962300,3926,1
14,1,2,50,5962300,3926,2
14,2,1,26,5962300,3926,1
14,2,2,25,5962300,3926,2
14,2,2,5,5962300,3926,3
15,1,1,52,5962300,3926,1
15,1,2,41,5962300,3926,2
15,1,1,22,5962300,3926,3
15,1,2,17,5962300,3926,4
15,1,2,4,5962300,3926,5
16,1,1,54,5962300,3926,1
16,1,2,26,5962300,3926,2
16,1,2,4,5962300,3926,3
17,1,1,20,5962300,3926,1
17,1,2,21,5962300,3926,2
17,1,2,2,5962300,3926,3
18,1,1,62,5962300,3926,1
18,1,2,61,5962300,3926,2
19,1,1,62,5962300,3926,1
1,1,1,50,5962453,3327,1
1,1,2,51,5962453,3327,2
1,1,1,17,5962453,3327,3
1,1,1,3,5962453,3327,4
2,1,1,65,5962453,3327,1
2,1,2,59,5962453,3327,2
3,1,1,72,5962453,3327,1
3,1,2,67,5962453,3327,2
5,1,1,54,5962453,3327,1
5,1,1,22,5962453,3327,2
5,1,2,17,5962453,3327,3
5,1,1,15,5962453,3327,4
5,1,1,12,5962453,3327,5
6,1,1,65,5962453,3327,1
6,1,2,64,5962453,3327,2
6,1,1,39,5962453,3327,3
6,1,2,35,5962453,3327,4
6,1,2,22,5962453,3327,5
6,1,1,2,5962453,3327,6
7,1,1,31,5962453,3327,1
7,1,2,30,5962453,3327,2
7,1,1,11,5962453,3327,3
7,1,2,7,5962453,3327,4
7,1,2,1,5962453,3327,5
9,1,1,75,5962453,3327,1
9,1,2,66,5962453,3327,2
9,1,2,35,5962453,3327,3
10,1,1,30,5962453,3327,1
10,1,2,35,5962453,3327,2
10,1,2,5,5962453,3327,3
10,1,2,2,5962453,3327,4
11,1,1,53,5962453,3327,1
11,1,2,52,5962453,3327,2
12,1,2,56,5962453,3327,1
12,1,2,30,5962453,3327,2
12,1,2,27,5962453,3327,3
12,1,1,32,5962453,3327,4
12,1,2,0,5962453,3327,5
13,1,2,46,5962453,3327,1
13,1,1,30,5962453,3327,2
13,1,2,26,5962453,3327,3
14,1,1,63,5962453,3327,1
14,1,2,60,5962453,3327,2
14,1,2,45,5962453,3327,3
14,1,2,17,5962453,3327,4
14,1,1,12,5962453,3327,5
14,1,2,8,5962453,3327,6
15,1,2,42,5962453,3327,1
15,1,2,16,5962453,3327,2
16,1,1,78,5962453,3327,1
16,1,2,76,5962453,3327,2
16,1,2,47,5962453,3327,3
16,1,2,30,5962453,3327,4
16,1,1,6,5962453,3327,5
17,1,2,50,5962453,3327,1
17,1,1,60,5962453,3327,2
18,1,2,62,5962453,3327,1
18,1,2,42,5962453,3327,2
18,1,1,41,5962453,3327,3
18,1,2,20,5962453,3327,4
18,1,2,10,5962453,3327,5
18,1,2,9,5962453,3327,6
19,1,1,58,5962453,3327,1
19,1,2,59,5962453,3327,2
19,1,2,25,5962453,3327,3
19,1,2,21,5962453,3327,4
19,1,2,10,5962453,3327,5
19,1,2,7,5962453,3327,6
19,1,1,4,5962453,3327,7
19,1,1,2,5962453,3327,8
1,1,1,41,6020804,4455,1
1,1,2,38,6020804,4455,2
1,1,1,15,6020804,4455,3
1,1,2,12,6020804,4455,4
2,1,1,70,6020804,4455,1
2,1,2,60,6020804,4455,2
2,1,1,31,6020804,4455,3
2,1,2,38,6020804,4455,4
2,1,1,23,6020804,4455,5
3,1,2,35,6020804,4455,1
3,1,1,15,6020804,4455,2
3,1,1,14,6020804,4455,3
4,1,1,71,6020804,4455,1
4,1,2,50,6020804,4455,2
4,1,1,15,6020804,4455,3
4,1,2,13,6020804,4455,4
5,1,1,64,6020804,4455,1
5,1,2,62,6020804,4455,2
5,1,2,26,6020804,4455,3
6,1,1,28,6020804,4455,1
6,1,2,28,6020804,4455,2
6,1,1,10,6020804,4455,3
6,1,2,8,6020804,4455,4
6,1,2,4,6020804,4455,5
7,1,1,45,6020804,4455,1
7,1,2,44,6020804,4455,2
7,1,1,23,6020804,4455,4
7,1,1,20,6020804,4455,5
8,1,1,73,6020804,4455,1
8,1,2,67,6020804,4455,2
8,1,1,42,6020804,4455,3
9,1,1,77,6020804,4455,1
9,1,2,67,6020804,4455,2
10,1,2,52,6020804,4455,1
10,1,1,30,6020804,4455,2
11,1,1,39,6020804,4455,1
11,1,2,35,6020804,4455,2
11,1,2,16,6020804,4455,3
11,1,2,13,6020804,4455,4
11,1,1,6,6020804,4455,5
11,2,1,31,6020804,4455,1
11,2,2,22,6020804,4455,2
11,2,2,7,6020804,4455,3
12,1,1,30,6020804,4455,1
12,1,2,56,6020804,4455,2
12,1,1,57,6020804,4455,3
12,1,1,35,6020804,4455,4
13,1,1,44,6020804,4455,1
13,1,2,43,6020804,4455,2
13,1,2,13,6020804,4455,3
13,1,1,8,6020804,4455,4
14,1,1,35,6020804,4455,1
14,1,2,30,6020804,4455,2
14,1,1,5,6020804,4455,3
15,1,1,33,6020804,4455,1
15,1,2,28,6020804,4455,2
15,1,1,6,6020804,4455,3
16,1,1,59,6020804,4455,1
16,1,2,61,6020804,4455,2
17,1,1,37,6020804,4455,1
17,1,2,38,6020804,4455,2
17,1,1,17,6020804,4455,3
17,1,2,16,6020804,4455,4
18,1,2,43,6020804,4455,1
18,1,2,17,6020804,4455,2
18,1,1,10,6020804,4455,3
19,1,1,32,6020804,4455,1
19,1,2,19,6020804,4455,2
19,1,2,2,6020804,4455,3
1,1,1,27,6021569,4440,1
1,1,2,22,6021569,4440,2
2,1,1,56,6021569,4440,1
2,1,2,49,6021569,4440,2
4,1,2,59,6021569,4440,1
4,1,1,32,6021569,4440,2
4,1,1,34,6021569,4440,3
4,1,1,30,6021569,4440,4
4,1,1,28,6021569,4440,5
4,1,2,29,6021569,4440,6
4,1,2,27,6021569,4440,7
4,1,2,5,6021569,4440,8
5,1,2,53,6021569,4440,1
5,1,1,31,6021569,4440,2
5,1,1,29,6021569,4440,3
5,1,1,56,6021569,4440,4
6,1,1,50,6021569,4440,1
6,1,2,43,6021569,4440,2
6,1,1,17,6021569,4440,3
6,1,1,29,6021569,4440,4
6,1,1,26,6021569,4440,5
6,1,2,22,6021569,4440,6
6,1,2,19,6021569,4440,7
7,1,1,47,6021569,4440,1
7,1,2,45,6021569,4440,2
7,1,1,21,6021569,4440,3
7,1,1,17,6021569,4440,4
7,1,2,15,6021569,4440,5
7,1,1,14,6021569,4440,6
8,1,1,50,6021569,4440,1
9,1,1,67,6021569,4440,1
9,1,2,65,6021569,4440,2
10,1,1,28,6021569,4440,1
10,1,2,65,6021569,4440,2
11,1,2,30,6021569,4440,1
11,1,2,8,6021569,4440,2
11,1,1,7,6021569,4440,3
11,1,1,5,6021569,4440,4
12,1,1,31,6021569,4440,1
12,1,2,30,6021569,4440,2
12,1,1,8,6021569,4440,3
12,1,2,6,6021569,4440,4
12,1,1,4,6021569,4440,5
13,1,1,33,6021569,4440,1
13,1,2,34,6021569,4440,2
13,1,1,13,6021569,4440,3
13,1,1,12,6021569,4440,4
14,1,1,34,6021569,4440,1
14,1,2,35,6021569,4440,2
14,1,1,12,6021569,4440,3
14,1,2,10,6021569,4440,4
15,1,1,35,6021569,4440,1
15,1,2,41,6021569,4440,2
15,1,1,12,6021569,4440,3
15,1,1,9,6021569,4440,4
16,1,2,61,6021569,4440,1
16,1,2,18,6021569,4440,2
16,1,1,0,6021569,4440,3
18,1,1,38,6021569,4440,1
18,1,1,17,6021569,4440,2
18,1,1,15,6021569,4440,3
19,1,1,45,6021569,4440,1
19,1,2,39,6021569,4440,2
19,1,2,21,6021569,4440,3
19,1,1,20,6021569,4440,4
19,1,2,2,6021569,4440,5
2,1,1,38,6021729,5167,1
2,1,2,40,6021729,5167,2
2,1,2,16,6021729,5167,3
3,1,1,23,6021729,5167,1
3,1,2,24,6021729,5167,2
3,1,1,3,6021729,5167,3
4,1,1,45,6021729,5167,1
4,1,2,44,6021729,5167,2
4,1,1,22,6021729,5167,3
4,1,1,21,6021729,5167,4
4,1,2,18,6021729,5167,5
5,1,1,22,6021729,5167,1
5,1,2,23,6021729,5167,2
6,1,1,38,6021729,5167,1
6,1,2,27,6021729,5167,2
6,1,1,7,6021729,5167,3
6,1,2,5,6021729,5167,4
7,1,1,41,6021729,5167,1
7,1,2,31,6021729,5167,2
7,1,1,13,6021729,5167,3
7,1,1,11,6021729,5167,4
7,1,1,3,6021729,5167,5
7,1,2,1,6021729,5167,6
8,1,1,26,6021729,5167,1
8,1,2,27,6021729,5167,2
8,1,1,7,6021729,5167,3
8,1,2,5,6021729,5167,4
8,1,2,3,6021729,5167,5
9,1,1,29,6021729,5167,1
9,1,2,28,6021729,5167,2
9,1,1,5,6021729,5167,3
9,1,1,1,6021729,5167,4
10,1,1,33,6021729,5167,1
10,1,2,29,6021729,5167,2
10,1,1,5,6021729,5167,3
11,1,1,66,6021729,5167,1
11,1,1,55,6021729,5167,2
12,1,1,43,6021729,5167,1
12,1,2,34,6021729,5167,2
12,1,2,14,6021729,5167,3
12,1,2,13,6021729,5167,4
13,1,1,41,6021729,5167,1
13,1,2,39,6021729,5167,2
13,1,1,22,6021729,5167,3
13,1,1,21,6021729,5167,4
14,1,1,50,6021729,5167,1
14,1,2,49,6021729,5167,2
14,1,2,16,6021729,5167,3
14,1,2,5,6021729,5167,4
16,1,1,40,6021729,5167,1
16,1,2,43,6021729,5167,2
16,1,2,12,6021729,5167,3
16,1,2,9,6021729,5167,4
16,1,2,5,6021729,5167,5
18,1,1,30,6021729,5167,1
18,1,2,30,6021729,5167,2
18,1,2,11,6021729,5167,3
18,1,1,10,6021729,5167,4
19,1,1,32,6021729,5167,1
19,1,2,32,6021729,5167,2
19,1,2,6,6021729,5167,3
20,1,1,66,6021729,5167,1
20,1,2,64,6021729,5167,2
20,1,2,23,6021729,5167,3
1,1,2,60,6060803,5004,1
1,1,1,26,6060803,5004,2
1,1,2,18,6060803,5004,3
2,1,1,42,6060803,5004,1
2,1,2,46,6060803,5004,2
2,1,2,17,6060803,5004,3
2,1,1,14,6060803,5004,4
3,1,1,34,6060803,5004,1
3,1,2,34,6060803,5004,2
3,1,1,20,6060803,5004,3
3,1,2,15,6060803,5004,4
3,1,1,8,6060803,5004,5
4,1,1,47,6060803,5004,1
4,1,2,45,6060803,5004,2
4,1,2,24,6060803,5004,3
4,1,1,14,6060803,5004,4
5,1,2,19,6060803,5004,1
5,1,1,32,6060803,5004,2
5,1,1,1,6060803,5004,3
1,1,1,27,6061063,4638,1
1,1,2,24,6061063,4638,2
1,1,1,6,6061063,4638,3
1,1,2,0,6061063,4638,4
2,1,2,34,6061063,4638,1
2,1,2,56,6061063,4638,2
3,1,1,31,6061063,4638,1
3,1,2,31,6061063,4638,2
3,1,1,5,6061063,4638,3
3,1,2,0,6061063,4638,4
4,1,1,35,6061063,4638,1
4,1,2,37,6061063,4638,2
4,1,2,13,6061063,4638,3
4,1,2,7,6061063,4638,4
5,1,1,32,6061063,4638,1
5,1,2,43,6061063,4638,2
5,1,2,13,6061063,4638,3
5,1,2,4,6061063,4638,4
1,1,1,56,6061080,3120,1
1,1,2,38,6061080,3120,2
1,1,2,18,6061080,3120,3
2,1,1,36,6061080,3120,1
2,1,2,28,6061080,3120,2
3,1,1,25,6061080,3120,1
3,1,2,22,6061080,3120,2
3,1,1,1,6061080,3120,3
4,1,1,31,6061080,3120,1
4,1,2,1,6061080,3120,2
4,1,2,30,6061080,3120,3
5,1,1,31,6061080,3120,1
5,1,2,30,6061080,3120,2
5,1,1,13,6061080,3120,3
1,1,2,70,6061191,7140,1
1,1,2,45,6061191,7140,2
2,1,1,56,6061191,7140,1
2,1,2,52,6061191,7140,2
2,1,2,82,6061191,7140,3
3,1,2,61,6061191,7140,1
3,1,1,13,6061191,7140,2
3,1,2,12,6061191,7140,3
3,1,2,47,6061191,7140,4
3,1,2,42,6061191,7140,5
4,1,1,35,6061191,7140,1
1,1,1,45,6061348,6975,1
1,1,2,46,6061348,6975,2
1,1,1,15,6061348,6975,3
1,1,2,3,6061348,6975,4
3,1,2,58,6061348,6975,1
5,1,1,34,6061348,6975,1
5,1,2,26,6061348,6975,2
5,1,1,3,6061348,6975,3
1,1,1,38,6061486,6036,1
1,1,2,33,6061486,6036,2
1,1,2,14,6061486,6036,3
1,1,2,6,6061486,6036,4
1,1,1,4,6061486,6036,5
2,1,1,54,6061486,6036,1
2,1,2,28,6061486,6036,2
2,1,1,8,6061486,6036,3
3,1,2,60,6061486,6036,1
3,1,1,60,6061486,6036,2
3,1,1,39,6061486,6036,3
2,1,1,51,6061536,5858,1
2,1,2,42,6061536,5858,2
2,1,2,21,6061536,5858,3
3,1,1,40,6061536,5858,1
3,1,2,36,6061536,5858,2
3,1,1,15,6061536,5858,3
3,1,1,5,6061536,5858,4
3,1,2,12,6061536,5858,5
4,1,1,54,6061536,5858,1
4,1,2,53,6061536,5858,2
5,1,1,32,6061536,5858,1
5,1,2,28,6061536,5858,2
5,1,1,11,6061536,5858,3
2,1,1,44,6061627,6129,1
2,1,2,25,6061627,6129,2
2,1,1,19,6061627,6129,3
2,1,2,45,6061627,6129,4
2,1,2,13,6061627,6129,5
3,1,1,55,6061627,6129,1
3,1,2,40,6061627,6129,2
4,1,1,45,6061627,6129,1
4,1,2,41,6061627,6129,2
4,1,1,20,6061627,6129,3
4,1,2,15,6061627,6129,4
4,1,1,17,6061627,6129,5
4,1,2,9,6061627,6129,6
5,1,1,40,6061627,6129,1
5,1,2,35,6061627,6129,2
5,1,2,12,6061627,6129,3
5,1,1,10,6061627,6129,4
5,1,2,5,6061627,6129,5
1,1,2,64,6062041,4907,1
3,1,1,52,6062041,4907,1
3,1,2,55,6062041,4907,2
3,1,2,28,6062041,4907,3
4,1,2,50,6062041,4907,1
4,1,2,25,6062041,4907,2
4,1,1,23,6062041,4907,3
5,1,1,83,6062041,4907,1
5,1,2,54,6062041,4907,2
5,1,1,30,6062041,4907,3
5,1,2,29,6062041,4907,4
1,1,1,38,6062162,6015,1
1,1,2,36,6062162,6015,2
1,1,1,15,6062162,6015,3
1,1,2,7,6062162,6015,4
5,1,1,47,6062162,6015,1
5,1,1,23,6062162,6015,2
5,1,1,21,6062162,6015,3
5,1,1,17,6062162,6015,4
3,1,2,38,6062723,5994,1
3,1,2,0,6062723,5994,2
4,1,2,44,6062723,5994,1
4,1,1,39,6064665,5455,1
4,1,2,39,6064665,5455,2
4,1,2,9,6064665,5455,3
5,1,1,32,6064665,5455,1
5,1,2,29,6064665,5455,2
5,1,1,1,6064665,5455,3
5,1,2,0,6064665,5455,4
3,1,2,58,6064723,5741,1
3,1,1,57,6064723,5741,2
4,1,1,24,6064723,5741,1
4,1,2,23,6064723,5741,2
4,1,1,2,6064723,5741,3
5,1,1,53,6064723,5741,1
5,1,2,48,6064723,5741,2
5,1,1,18,6064723,5741,3
1,1,1,50,6065024,6255,1
1,1,2,44,6065024,6255,2
1,1,1,25,6065024,6255,3
1,1,2,19,6065024,6255,4
1,1,2,8,6065024,6255,5
2,1,1,38,6065024,6255,1
2,1,2,34,6065024,6255,2
2,1,1,27,6065024,6255,3
2,1,1,15,6065024,6255,4
2,1,2,10,6065024,6255,5
3,1,1,43,6065024,6255,1
3,1,2,44,6065024,6255,2
3,1,2,24,6065024,6255,3
3,1,1,22,6065024,6255,4
3,1,1,21,6065024,6255,5
3,1,1,9,6065024,6255,6
4,1,1,37,6065024,6255,1
4,1,2,36,6065024,6255,2
4,1,2,10,6065024,6255,3
4,1,1,6,6065024,6255,4
3,1,1,45,6065052,6821,1
4,1,1,39,6065052,6821,1
4,1,2,47,6065052,6821,2
5,1,2,42,6065052,6821,1
5,1,2,19,6065052,6821,2
5,1,2,23,6065052,6821,3
5,1,1,21,6065052,6821,4
1,1,1,36,6065864,5496,1
1,1,2,34,6065864,5496,2
2,1,2,35,6065864,5496,1
3,1,1,35,6065864,5496,1
3,1,2,37,6065864,5496,2
3,1,1,9,6065864,5496,3
3,1,2,12,6065864,5496,4
4,1,1,37,6065864,5496,1
5,1,1,32,6065864,5496,1
5,1,2,32,6065864,5496,2
5,1,2,6,6065864,5496,3
5,1,2,1,6065864,5496,4
1,1,2,40,6066180,6422,1
1,1,2,17,6066180,6422,2
1,1,2,11,6066180,6422,3
3,1,1,42,6066180,6422,1
3,1,2,35,6066180,6422,2
3,1,1,7,6066180,6422,3
3,1,1,5,6066180,6422,4
3,1,2,32,6066180,6422,5
3,1,2,37,6066180,6422,6
1,1,1,69,6066253,4658,1
1,1,2,68,6066253,4658,2
2,1,2,26,6066253,4658,1
2,1,2,18,6066253,4658,2
4,1,1,44,6066253,4658,1
4,1,2,19,6066253,4658,2
4,1,1,27,6066253,4658,3
4,1,2,42,6066253,4658,4
4,1,1,39,6066253,4658,5
2,1,2,51,6066467,5630,1
3,1,2,46,6066467,5630,1
3,1,1,24,6066467,5630,2
3,1,2,27,6066467,5630,3
3,1,2,25,6066467,5630,4
3,1,1,6,6066467,5630,5
3,1,2,11,6066467,5630,6
3,1,1,1,6066467,5630,7
3,1,1,2,6066467,5630,8
4,1,2,60,6066467,5630,1
4,1,1,29,6066467,5630,2
4,1,2,27,6066467,5630,3
1,1,2,33,6066473,6332,1
1,1,1,13,6066473,6332,2
1,1,2,9,6066473,6332,3
1,1,2,5,6066473,6332,4
3,1,1,49,6066473,6332,1
3,1,2,40,6066473,6332,2
3,1,1,22,6066473,6332,3
3,1,2,16,6066473,6332,4
3,1,2,11,6066473,6332,5
5,1,2,35,6066473,6332,2
5,1,1,16,6066473,6332,3
5,1,2,7,6066473,6332,4
5,1,2,5,6066473,6332,5
1,1,1,65,6066517,6641,1
2,1,1,45,6066517,6641,1
2,1,2,42,6066517,6641,2
2,1,1,20,6066517,6641,3
2,1,1,17,6066517,6641,4
2,1,1,11,6066517,6641,5
3,1,2,42,6066517,6641,1
3,1,2,18,6066517,6641,2
3,1,2,16,6066517,6641,3
3,1,2,63,6066517,6641,4
4,1,2,23,6066517,6641,1
4,1,2,15,6066517,6641,2
5,1,1,36,6066517,6641,1
5,1,2,36,6066517,6641,2
5,1,1,2,6066517,6641,3
5,1,1,10,6066517,6641,4
1,1,1,67,6066526,6831,1
1,1,2,60,6066526,6831,2
1,1,2,31,6066526,6831,3
2,1,1,57,6066526,6831,1
2,1,2,61,6066526,6831,2
2,1,1,23,6066526,6831,3
4,1,1,40,6066526,6831,1
4,1,2,40,6066526,6831,2
4,1,2,16,6066526,6831,3
5,1,1,34,6066526,6831,1
5,1,2,66,6066526,6831,2
5,1,2,11,6066526,6831,3
5,1,2,32,6066526,6831,4
1,1,1,61,6066558,6701,1
1,1,2,40,6066558,6701,2
1,1,1,16,6066558,6701,3
1,1,2,14,6066558,6701,4
1,1,1,12,6066558,6701,5
2,1,2,59,6066558,6701,1
2,1,2,23,6066558,6701,2
2,1,1,8,6066558,6701,3
3,1,1,37,6066558,6701,1
4,1,1,68,6066558,6701,1
5,1,1,28,6066558,6701,1
5,1,2,28,6066558,6701,2
5,1,2,10,6066558,6701,3
5,1,1,4,6066558,6701,4
5,1,1,0,6066558,6701,5
1,1,2,27,6066622,5547,1
1,1,2,25,6066622,5547,2
2,1,1,64,6066622,5547,1
2,1,2,54,6066622,5547,2
2,1,2,23,6066622,5547,3
2,1,1,3,6066622,5547,4
3,1,2,25,6066622,5547,1
4,1,2,59,6066622,5547,1
4,1,2,36,6066622,5547,2
4,1,1,5,6066622,5547,3
4,1,2,10,6066622,5547,4
5,1,1,72,6066622,5547,1
5,1,2,70,6066622,5547,2
1,1,1,37,6066746,5487,1
2,1,1,49,6066746,5487,1
2,1,2,47,6066746,5487,2
2,1,1,21,6066746,5487,3
3,1,1,73,6066746,5487,1
3,1,2,66,6066746,5487,2
3,1,1,47,6066746,5487,3
5,1,1,53,6066746,5487,1
5,1,2,42,6066746,5487,2
5,1,2,17,6066746,5487,3
5,1,1,11,6066746,5487,4
1,1,2,73,6066750,4508,1
1,1,1,43,6066750,4508,2
3,1,2,42,6066750,4508,1
3,1,1,14,6066750,4508,2
4,1,1,51,6066750,4508,1
4,1,2,51,6066750,4508,2
4,1,1,22,6066750,4508,3
5,1,1,55,6066750,4508,1
5,1,2,56,6066750,4508,2
1,1,2,48,6066787,5592,1
1,1,1,19,6066787,5592,2
1,1,2,15,6066787,5592,3
1,1,1,13,6066787,5592,4
2,1,1,69,6066787,5592,1
2,1,2,64,6066787,5592,2
4,1,1,54,6066787,5592,1
4,1,2,50,6066787,5592,2
4,1,2,25,6066787,5592,3
4,1,2,17,6066787,5592,4
5,1,1,56,6066787,5592,1
5,1,2,45,6066787,5592,2
5,1,1,26,6066787,5592,3
5,1,2,14,6066787,5592,4
1,1,1,40,6066807,7391,1
1,1,2,34,6066807,7391,2
1,1,2,23,6066807,7391,3
1,1,2,18,6066807,7391,4
1,1,2,22,6066807,7391,5
1,1,1,7,6066807,7391,6
3,1,1,49,6066807,7391,1
3,1,2,43,6066807,7391,2
3,1,1,63,6066822,8607,1
3,1,2,63,6066822,8607,2
3,1,2,31,6066822,8607,3
3,1,1,24,6066822,8607,4
4,1,1,82,6066822,8607,1
4,1,2,60,6066822,8607,2
5,1,1,63,6066822,8607,1
5,1,2,58,6066822,8607,2
1,1,2,45,6066879,5893,1
1,1,2,14,6066879,5893,2
2,1,1,39,6066879,5893,1
2,1,2,39,6066879,5893,2
2,1,1,18,6066879,5893,3
2,1,2,11,6066879,5893,4
2,1,2,7,6066879,5893,5
3,1,1,34,6066879,5893,1
